code,guide_tier,guide_weight,violation_code_title,in_our_54,in_ovs_def
PM-302.2/1,Level 1,1,EXT A-CLEAN/EXTERMINATE,FALSE,FALSE
PM-302.2/2,Level 1,1,EXT A-CLEAN RUBBISH/GARBAGE,FALSE,FALSE
PM-302.3/1,Level 1,1,EXT A-CLEAN WEEDS/PLANTS,FALSE,FALSE
PM-302.4/6,Level 1,1,DRAINAGE-DOWNSPOUT CONNECT,FALSE,FALSE
PM-302.4/7,Level 1,1,DRAINAGE-DOWNSPOUT REPR/REPLC,FALSE,FALSE
PM-304.1/1,Level 1,1,EXT S-EXTERIOR REPAIR/MAINTAIN,FALSE,FALSE
PM-304.6/1,Level 1,1,EXT S-CHIMMEYS/TOWERS MAINTAIN,FALSE,FALSE
PM-304.8/1,Level 1,1,EXT S-WINDOW REPAIR/MAINTAIN,FALSE,FALSE
PM-304.8/15,Level 1,1,EXT S-DOOR WEATHERTIGHT,FALSE,FALSE
PM-304.8/16,Level 1,1,EXT S-WINDOW REPAIR/REPLACE,FALSE,FALSE
PM-304.8/17,Level 1,1,EXT S-DOOR REPAIR/REPLACE,FALSE,FALSE
PM-304.8/18,Level 1,1,EXT S-DOORFRAME REPAIR/REPLACE,FALSE,FALSE
PM-304.8/19,Level 1,1,EXT S-WINDOW/FRAME RODENTPROOF,FALSE,FALSE
PM-304.8/2,Level 1,1,EXT S-DOORS MAINTAIN,FALSE,FALSE
PM-304.8/20,Level 1,1,EXT S-DOORS/FRAMES RODENTPROOF,FALSE,FALSE
PM-304.8/21,Level 1,1,MIX USE PROP REPLAC W/D 80%,FALSE,FALSE
PM15-304.10,Level 1,1,"EXTERIOR STRUCTURE STAIRS, DECKS, PORCHES",FALSE,FALSE
PM15-304.11,Level 1,1,EXTERIOR STRUCTURE CHIMNEYS TOWERS,FALSE,FALSE
PM15-304.19,Level 1,1,DOOR AND WINDOW OCCUPIED/MIXED,FALSE,FALSE
PM15-304.19O,Level 1,1,DOOR AND WINDOW OCCUPIED/MIXED,FALSE,FALSE
PM15-304.2,Level 1,1,EXTERIOR STRUCTURE PROTECTIVE TREATMENT,FALSE,FALSE
PM15-304.8,Level 1,1,EXTERIOR STRUCTURE DECORATIVE FEATURES,FALSE,FALSE
PM15-308.1,Level 1,1,RUBBISH & GARBAGE,FALSE,FALSE
PM15-309.1,Level 1,1,PEST ELIMINATION INFESTATION,FALSE,FALSE
PM15-309.3,Level 1,1,PEST ELIMINATION INFESTATION SINGLE OCCUPANT,FALSE,FALSE
PM15-309.4,Level 1,1,PEST ELIMINATION INFESTATION,FALSE,FALSE
PM-304.2/1,Level 2,2,"EXT S-FOUNDATION WALLS, MAINTA",FALSE,FALSE
PM-304.3/1,Level 2,2,EXT S-WALLS REPAIR/MAINTAIN,FALSE,FALSE
PM-304.3/2,Level 2,2,EXT S-WALLS MAKE WEATHERTIGHT,FALSE,FALSE
PM-304.3/3,Level 2,2,EXT S-WALLS REPAIR BULGING,FALSE,FALSE
PM-304.3/4,Level 2,2,EXT S-WALLS REPAIR CRACKS,FALSE,FALSE
PM-304.3/5,Level 2,2,EXT S-WALLS REPAIR STUCCO,FALSE,FALSE
PM-304.5/2,Level 2,2,EXT S-EXPOSED SURFACES MAINTAI,FALSE,FALSE
